"idProduto","descProduto"
"1","Airflow Lover"
"10","Daily Loot"
"11","Lista de presença"
"12","Presença Streak"
"13","R Lover"
"14","Reembolso: Troca de Pontos StreamElements"
"15","Resgatar Ponei"
"16","Torta"
"17","Troca de Pontos StreamElements"
"18","Venda de Item: 1 - Bota das Sombras (200)"
"19","Venda de Item: 10 - Couraça das Sombras (300)"
"2","Batata"
"20","Venda de Item: 12 - Túnica Arcana (500)"
"21","Venda de Item: 13 - Couraça do Berserker (600)"
"22","Venda de Item: 14 - Espada Curta (150)"
"23","Venda de Item: 15 - Machado de Batalha (300)"
"24","Venda de Item: 16 - Adaga (100)"
"25","Venda de Item: 17 - Martelo de Guerra (400)"
"26","Venda de Item: 18 - Cajado Arcano (250)"
"27","Venda de Item: 19 - Arco Longo (200)"
"28","Venda de Item: 20 - Lança (220)"
"29","Venda de Item: 21 - Maça (280)"
"3","Bolo"
"30","Venda de Item: 22 - Espada Longa (250)"
"31","Venda de Item: 23 - Adaga Envenenada (150)"
"32","Venda de Item: 24 - Cajado Sagrado (250)"
"33","Venda de Item: 25 - Ukulele das Trevas (250)"
"34","Venda de Item: 3 - Chinélos Místicos (350)"
"35","Venda de Item: 4 - Botas Berserker (450)"
"36","Venda de Item: 5 - Botas Diversão (450)"
"37","Venda de Item: 6 - Chapéu da Sombra (150)"
"38","Venda de Item: 7 - Capacete de Ferro (400)"
"39","Venda de Item: 8 - Chapéu Arcano (300)"
"4","Cerveja"
"40","Venda de Item: 9 - Elmo do Berserker (350)"
"41","join failed"
"5","ChatMessage"
"6","Churn_10pp"
"7","Churn_2pp"
"8","Churn_5pp"
"9","Coca Cola"
